recovered,Average_score
26188,1189
14273,1136
5332,758.5
1733089,-1733089
2160130,-2160130
12285,54968
3214,422
9790,825
2941,885
3595,559
55117,6706
925,530
2924,650
7553,1015.5
9208,1621
40069,4620
7492,1008
2351,587
11285,3402
8327,840
14703,2020
2547,401
5184,699.5
9621,743
14043,1030
11164,1930
3123,578
14592,2792
6470,1633
35,1106.5
22647,72084
34219,80002
2993,527
9473,1236
2588,903
3248,482
4561,185
3402,630.5
52511,7062
7809,2584
801,549
2729,706
13107,3585
4191,714.5
8474,2036
38712,4737
7138,1057
2736,284
2173,628
7891,911
13931,2292
2397,424
4893,1082.5
4024,2868
9360,794
13615,1017
15133,2385
10228,2138
13213,2985
5969,1636
1429,655
1251782,-1251782
5783,243
14561,573
8112,834
4981,70
5354,57
98840,6558
22020,1023
3567,295
33126,2505
14318,1206
9478,599
19623,1803
64292,3556
15891,1313
4449,196
4662,285
30263,2827
13292,891.5
25066,956
6702,533
9361,1214.5
19097,896
14186,555
20240,682
27115,893
24678,908
5994,169
26543,1091
14630,1086
5518,600
43208,84689
2171095,-2171095
1348660,-1348660
1237321,-1237321
1005248,-1005248
1192,385
5123,642
817,242
778,279
2716,505
1778,571
30696,4141
1800,554
208,89
687,275
2938,1030
2818,412
2046,489
21081,2655
1384,285
758,274
2093,1092
2560,703.3333333
1110,283
1811,279.5
1404,518
4693,328.5
3974,225
5559,1219
1390,241
5248,714.3333333
2009,553
366,152
1932457,-1932457
1861861,-1861861
2023270,-2019048
2163,290
7414,591
1439,365
2010,250
4051,310
2626,505
42281,3951
4737,830
478,185.5
1775,472
7565,1364
4780,701
6082,1000
31794,2420
5669,384
2302,187
1474,373
6039,1605
5459,519
9974,837
1648,273
2976,828
2956,714
7444,412
8381,783
10349,1303
6398,777
2270,370
9196,1343
3716,1118
780,263
5512,372
14217,809
7563,969
4916,258
5298,73
6947,794
92055,8164
21096,1314
3416,282
31227,2812
13422,1269
9111,541
18488,1920
61561,3869
14795,1432
4535,291
28250,3042
12842,737
24293,1020
6171,623
9170,430
18184,1145
13716,639
19505,851
26373,973
23781,1115
5706,218
25542,1387
13945,1279
5103,858.5
2095953,-2095953
7615,888
17779,1471
10893,860
5517,75
6333,101
12965,2467
130804,12727
27613,2993
5409,323
10279,2309
41579,2881
19262,621
12347,892
27353,2198
82496,3730
21816,864
5366,708.5
5563,246
44664,3505
18450,792
29419,1122
10404,1765
11232,295
24968,1343
17315,783
33774,849
30590,655
28236,1130
7019,253
31285,756
18400,1199
8383,1375
3731,372
10733,754
3755,1180
3968,338
4791,847.5
4213,547
63252,6337
11473,2620
1418,376.5
19009,3350
9124,1409
11048,1782
45028,4667
8616,1372
3079,520.3333333
2835,538
17285,2306
9513,961
17218,2037
3118,569.6666667
8853,2236
10415,820
15496,1091
19658,1954
14931,1574
3782,299.5
17701,2440
8420,1798
2211,712
1696739,-1696739
2770,401
8892,505
2305,658.5
2833,272
4416,172
3329,202
49961,3955
7245,717.5
767,262
2502,623.5
11348,2369
3953,570
7784,1341
37953,2414
2625,347
1957,349.5
9166,1806
7267,449
12974,876
2108,348
4406,758
8935,548
12303,657
13799,1609
9424,885
2926,261
12652,1528
5075,1301
1295,338
6408,546
17494,804
6729,578.5
9783,1080
115149,7226
24129,1713
4431,492
8187,1309.5
37883,1721
17047,1070
23134,2043
73906,3359
19327,973
4802,278
5116,307
36115,3358
15892,956
27396,894
7964,823
10318,508
21444,801
15638,682
31122,759
29082,638
26609,833
6545,144
29074,951
16561,965
6538,683
1926287,-1926287
1933,429.6666667
6775,641
1642,321.5
3712,353
2405,306.5
39104,3719
3718,929
386,139
1444,487
6014,1658
4268,471
2896,485
28901,2216
5059,458
2136,213
4494,576
8336,1419
1501,255
2539,803
2449,714
6829,428
6941,623
8960,1108
7934,1102
3063,1072
649,198
945673,-945673
11160,712
4456,1011
4180,188
4850,159
4682,478
66461,5618
12915,2412
1644,507
21014,2651
10098,1065
5929,938
12061,1740
47218,4103
9416,1201
3267,303
18372,2372
10056,763
18379,1726
6864,816
10204,1620.5
10981,660
16172,887
21070,1443
15988,1348
3994,458
19471,1875
9486,1345
2533,424
1482138,-1482138
7310,920
17666,1039
10776,825
5491,67
6304,107
11624,2777
129157,11374
27058,2738
5296,386
9516,2053
41063,2582
19106,614
12166,802
26711,2297
81635,3416
21510,889
5294,260
5522,282
43418,3890
18170,781
29148,1064
9905,1710
11156,328
24341,1351
17160,710
33465,877
30431,627
28097,970
7006,229
31025,871
18003,1404
8161,1000
55668,86524
762025,-762025
2654,517.5
8702,888
2095,895
2749,639
4418,197
3004,550
48089,6495
10686,3350
3844,729
7175,2100
36050,4565
6572,808
2536,377.5
1947,543
7457,3929
7124,775
11575,2565
2094,519.3333333
4096,1273
3490,1990
8545,939
11798,1219
13362,2398
8463,2028
11731,2900
5114,1413
1158,524
1425748,-1425748
19259,68200
1563992,-1563992
1748317,-1748317
25935,8463
138980,62130
2129,238
7273,545
1403,320
1950,248
3998,325
2608,144
41738,3867
4563,1162
471,155
1686,537
7288,1873
4641,570
3145,476
5957,1091
31290,2157
5566,342.5
2284,503.5
1424,253.6666667
5784,1642
5300,594
9739,995
2891,814
2881,722
7361,368
7974,662
10097,1291
6140,831
2230,524
9018,1065.5
3611,1117
764,359.5
7719,889
17886,1177
11009,778
5521,84
6328,4957.666667
13348,2382
132100,12533
27830,3063
10486,2355
41499,3343
19351,573
12445,896
27583,2260
83065,3760
21904,942.5
5579,618
44950,3568
18556,738.5
29664,1065
10490,1790
11245,307
25041,1365
17367,786
33793,959
30638,689
28356,1137
31335,794
18547,1127
8538,1394
89250,101617
1134877,-1134877
596,210
515,93
381,136
1128,664
1177,249.5
19099,3975
834,223.3333333
95,38
210,123.5
992,600.5
1026,425
1049,602
12121,1921
1394,423.5
380,234.5
1076,309
984,366
2073,-221.6666667
595,289
1287,284
2465,593
1640,286
2937,853
1214,323
704,230
2837,634
1312,387
202,72
8217,894
18613,1052
11570,663
6403,123
16074,1896
139774,10897
30033,2603
5670,301
44388,2809
19839,386
13034,882
29112,2149
85641,3340
22839,725
5580,237
5691,231
48025,3566
30371,1074
11922,1763
11481,329
26510,1011
18058,587
34735,934
31130,621
29126,903
7243,177
31957,672
19323,822
9489,1458
1893236,-1893236
1971470,-1971470
1877347,-1877347
6105,727
9333,763
5121,63
9353,949
110204,7812
23713,1485
7926,756
37047,1657
16611,1004
10466,543
22389,2152
69531,3546
18493,1048
4684,179
4994,356
34995,3475
15151,914
26641,879
7737,749
9965,485
21068,799
15161,652
21329,718
28684,635
26118,896
28469,982
16083,1061
6365,408
1895483,-1895483
1911033,-1911033
1607869,-1607869
1595320,-1595320
4387,426
12309,671
5638,644.5
4443,181
5056,125
5506,689
75198,6739
16223,2415
2333,567
4738,738
24477,2561
11683,837
7109,875
14388,1741
52765,4176
11217,1416
3747,281
3729,414
21766,2721
11167,634
20859,1406
4322,586.5
7865,629
13464,1617
11982,711
17223,964
23397,1195
19844,1271
4783,385.5
21907,1598
11043,1324
1650230,-1650230
14420,618
7746,901
4952,402.6666667
5311,75
7241,594
94858,6942
21456,1215
3465,275
6586,721
32004,2548
13798,1157
9282,546
18900,1810
62652,3448
15352,1260
4361,168
4574,277
29131,2635
13047,597
24622,913
6348,545
9238,365
18592,986
13983,506
19820,720
26670,865
24193,961
26059,1271
14180,1161
5276,454
7937,1339.5
18057,1219
11179,827
5526,100
14095,2337
133843,13000
28480,3263
5467,675
10779,2636
42224,3323
19475,514
12500,1011
28060,2273
83370,4049
22120,882
5445,354.5
45917,3680
18753,933
29871,1078
10842,1848
11317,345
25235,1428
17536,747
34116,1028
30789,689
28441,1228
7122,210
31528,739
18689,1138
8753,1177
1199810,-1199810
1850680,-1850680
70853,88083
1729269,-1729269
6982,834
17415,892
10370,869
5452,63
6260,126
10849,2628
126028,9874
26193,2426
5133,426
9433,1583
40330,2131
18644,664
11873,788
25839,2281
79952,3148
20703,1071
5190,275
5421,178.5
41278,4201
17678,857
28772,1066
9217,1612
23533,1264
32943,789
30067,708
27839,756
6931,189
30582,913
17632,1229
7616,1186
128511,66866
2226594,-2226594
1511199,-1511199
1083768,-1083768
136166,61563
4206,375
11979,633
5263,947.5
4382,135
5008,110
5310,591
72654,5824
15094,2325
1989,585
4427,660
23506,2733
11256,754.5
13259,2067
51482,3761
3512,347
3462,484
20485,2578
10658,793
19973,1581
3952,955.3333333
7518,728
12594,1424
11601,663
17029,815
22730,1127
18205,1511
4650,309
21126,1711
10566,1238
3153,799
836567,-836567
6740,928
17193,1642
6250,115
10112,2672
123952,8621
25786,2307
4983,462
8899,1464.5
39782,1971
18377,766
11690,714
25273,2142
78452,2901
20279,971
5107,272
5361,184.5
39968,4315
17289,964
28503,899
10892,360
23041,1299
16569,730
32554,797
29852,750
27530,784
6877,196
30181,999
17527,1079
7403,1121
962397,-962397
1990610,-1990610
1248,331
5210,366.5
829,223
2804,456
31451,4242
1884,590
219,86
747,327
3109,1222
2908,432
2117,488
21714,2550
3233,697
1427,329.5
786,290
2225,1025
2655,688
4604,1529
1846,442
